RelativePath,Width,Height,FlagOver2048
In Game\Camp\Template\brave heart_gray.png,28,40,
In Game\Camp\Template\chip blade.png,28,40,
In Game\Camp\Template\chip blade_gray.png,28,40,
In Game\Camp\Template\counter attack.png,28,40,
In Game\Camp\Template\counter attack_gray.png,28,40,
In Game\Camp\Template\eat my dust.png,28,40,
In Game\Camp\Template\eat my dust_gray.png,28,40,
In Game\Camp\Template\extra health.png,28,40,
In Game\Camp\Template\extra health_gray.png,28,40,
In Game\Camp\Template\safe guard.png,28,40,
In Game\Camp\Template\safe guard_gray.png,28,40,
In Game\Camp\Template\tough enough.png,28,40,
In Game\Camp\Template\tough enough_gray.png,28,40,
In Game\Camp\Template\tremble and fear.png,28,40,
In Game\Camp\Template\tremble and fear_gray.png,28,40,
In Game\Map\BuildingIcons\MapMenus\Actions\abandon.png,40,12,
In Game\Map\BuildingIcons\MapMenus\Actions\abandon_H.png,40,12,
In Game\Map\BuildingIcons\MapMenus\Actions\destroy.png,40,16,
In Game\Map\BuildingIcons\MapMenus\Actions\destroy_H.png,40,16,
In Game\Camp\KnightMenu\captain_button.png,38,39,
In Game\Map\BuildingIcons\MapMenus\Actions\sabotage.png,39,14,
In Game\Map\BuildingIcons\MapMenus\Actions\sabotage_H.png,39,14,
In Game\Camp\KnightMenu\company_button.png,32,35,
In Game\Map\camp_icon.png,33,34,
Shared\gauntlet_cursor.png,33,33,
In Game\Map\EnemyIcons\little_darvi.png,18,32,
In Game\Map\EnemyIcons\little_darvi_outline.png,18,32,
In Game\Map\EnemyIcons\little_enemy.png,17,32,
In Game\Map\EnemyIcons\little_enemy_outline.png,17,32,
In Game\Camp\spy_guy.png,27,31,
In Game\Camp\KnightMenu\knight_guy.png,25,30,
In Game\Camp\Template\atkx2.png,19,30,
In Game\Camp\Template\atkx2_gray.png,19,30,
In Game\Camp\Template\atkx3.png,19,30,
In Game\Camp\Template\atkx3_gray.png,19,30,
In Game\Camp\Template\bleed.png,20,30,
In Game\Camp\Template\bleed_gray.png,20,30,
In Game\Camp\Template\crit chance up.png,19,30,
In Game\Camp\Template\crit chance up_gray.png,19,30,
In Game\Camp\Template\don't bleed.png,19,30,
In Game\Camp\Template\don't bleed_gray.png,19,30,
In Game\Camp\Template\flee!.png,19,30,
In Game\Camp\Template\flee!_gray.png,19,30,
In Game\Map\BuildingIcons\chapel.png,26,30,
In Game\Map\BuildingIcons\chapel_blue.png,26,30,
In Game\Map\BuildingIcons\chapel_red.png,26,30,
In Game\Map\Buildings\chapel.png,26,30,
In Game\Map\Buildings\chapel_blue.png,26,30,
In Game\Map\Buildings\chapel_red.png,26,30,
In Game\Camp\smith_guy.png,27,29,
In Game\Camp\SmithMenu\armour_upgrade.png,28,29,
In Game\Camp\SmithMenu\smith_guy.png,27,29,
In Game\Camp\Company Dialog\size_box.png,28,21,
In Game\Map\BuildingIcons\tower.png,15,28,
In Game\Map\BuildingIcons\tower_blue.png,15,28,
In Game\Map\BuildingIcons\tower_red.png,15,28,
In Game\Map\Buildings\tower.png,15,28,
In Game\Map\Buildings\tower_blue.png,15,28,
In Game\Map\Buildings\tower_red.png,15,28,
In Game\Camp\picard_guy.png,26,27,
In Game\Map\BuildingIcons\MapMenus\Actions\burn.png,27,11,
In Game\Map\BuildingIcons\MapMenus\Actions\burn_H.png,27,11,
In Game\Camp\KnightMenu\dialogue_button.png,26,23,
In Game\Camp\KnightMenu\template_button.png,26,25,
In Game\Camp\SmithMenu\weapon_upgrade.png,26,26,
In Game\Camp\Company Dialog\grid_arrow_left.png,16,25,
In Game\Camp\Company Dialog\grid_arrow_left_blue.png,16,25,
In Game\Camp\Company Dialog\grid_arrow_right.png,16,25,
In Game\Camp\Company Dialog\grid_arrow_right_blue.png,16,25,
In Game\Camp\Company Dialog\template_arrow_left.png,21,24,
In Game\Camp\Company Dialog\template_arrow_right.png,21,24,
In Game\Map\EnemyIcons\bandit1_icon.png,18,24,
In Game\Map\BuildingIcons\darvi.png,22,23,
In Game\Map\BuildingIcons\darvi_blue.png,22,23,
In Game\Map\BuildingIcons\darvi_red.png,22,23,
In Game\Map\Buildings\darvi.png,22,23,
In Game\Map\Buildings\darvi_blue.png,22,23,
In Game\Map\Buildings\darvi_red.png,22,23,
Shared\company_arrowdownx.png,22,23,
Shared\company_arrowrightx.png,23,22,
Shared\company_arrowupx.png,22,23,
In Game\Camp\Template\Left Arrow Large.png,22,14,
In Game\Camp\Template\Right Arrow Large.png,22,14,
In Game\Map\BuildingIcons\hut.png,16,21,
In Game\Map\BuildingIcons\hut_blue.png,16,21,
In Game\Map\BuildingIcons\hut_red.png,16,21,
In Game\Map\Buildings\hut.png,16,21,
In Game\Map\Buildings\hut_blue.png,16,21,
In Game\Map\Buildings\hut_red.png,16,21,
In Game\Map\EnemyIcons\bandit2_icon.png,21,19,
In Game\Map\BuildingIcons\bridgeNE.png,20,18,
In Game\Map\BuildingIcons\bridgeNE_blue.png,20,18,
In Game\Map\BuildingIcons\bridgeNE_red.png,20,18,
In Game\Map\BuildingIcons\bridgeS.png,20,19,
In Game\Map\BuildingIcons\bridgeSE.png,20,18,
In Game\Map\BuildingIcons\bridgeSE_blue.png,20,18,
In Game\Map\BuildingIcons\bridgeSE_red.png,20,18,
In Game\Map\BuildingIcons\bridgeS_blue.png,20,19,
In Game\Map\BuildingIcons\bridgeS_red.png,20,19,
In Game\Map\Buildings\bridgeNE.png,20,18,
In Game\Map\Buildings\bridgeNE_blue.png,20,18,
In Game\Map\Buildings\bridgeNE_red.png,20,18,
In Game\Map\Buildings\bridgeS.png,20,19,
In Game\Map\Buildings\bridgeSE.png,20,18,
In Game\Map\Buildings\bridgeSE_blue.png,20,18,
In Game\Map\Buildings\bridgeSE_red.png,20,18,
In Game\Map\Buildings\bridgeS_blue.png,20,19,
In Game\Map\Buildings\bridgeS_red.png,20,19,
Shared\arrow_cursor.png,16,17,
In Game\Camp\Company Dialog\blue_jester.png,15,14,
In Game\Camp\Company Dialog\green_genie.png,15,14,
In Game\Camp\Company Dialog\horned_skull.png,15,14,
In Game\Camp\Company Dialog\purple_demon.png,15,14,
In Game\Camp\Company Dialog\purple_skull.png,15,14,
In Game\Camp\Company Dialog\red_demon.png,15,14,
In Game\Camp\Company Dialog\red_skull.png,15,14,
In Game\Camp\Company Dialog\sai.png,15,14,
In Game\Camp\Company Dialog\skull.png,15,14,
In Game\Camp\Company Dialog\axe.png,14,14,
In Game\Camp\Company Dialog\battle_axe.png,14,14,
In Game\Camp\Company Dialog\falchion.png,14,14,
In Game\Camp\Company Dialog\goblin.png,14,14,
In Game\Camp\Company Dialog\kite_shield.png,14,14,
In Game\Camp\Company Dialog\knight_sword.png,14,14,
In Game\Camp\Company Dialog\sabre.png,14,14,
In Game\Camp\Company Dialog\sallet.png,14,14,
In Game\Camp\Company Dialog\target.png,14,14,
In Game\Camp\Template\Left Arrow.png,10,12,
In Game\Camp\Template\Right Arrow.png,10,12,
In Game\Camp\Company Dialog\unit_allocation_arrows.png,7,10,
In Game\Camp\Company Dialog\unit_allocation_down.png,7,5,
In Game\Camp\Company Dialog\unit_allocation_up.png,7,5,
Shared\percentagedwn.png,7,5,
Shared\percentagedwnx.png,7,5,
Shared\percentageup.png,7,5,
Shared\percentageupx.png,7,5,
